timestamp,input_type,input_value,transcription,translation,tts_voice,output_audio_hash,misbehavior_detected,misbehavior_reason
2025-07-14T21:43:31.109861+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:43:33.907190+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:43:35.628206+00:00,Audio file,d,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:43:38.164949+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:43:43.513372+00:00,Audio file,y,,,es-BO-SofiaNeural,0,False,
2025-07-14T21:43:43.946471+00:00,Audio file,?,?,Mock translation: ?,es-BO-SofiaNeural,-1100859841531280833,False,
2025-07-14T22:32:16.326064+00:00,Audio file,O,O,Mock translation: O,es-BO-SofiaNeural,7608330043189672739,True,
2025-07-14T22:32:32.775773+00:00,Audio file,u,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:34.434384+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:39.548557+00:00,Audio file,p,,,es-BO-SofiaNeural,0,True,
2025-07-14T22:32:41.251312+00:00,Audio file,u,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:42.914653+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:43.426653+00:00,Audio file,:,:,Mock translation: :,es-BO-SofiaNeural,7898943221495600987,True,
2025-07-14T22:32:43.450266+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:45.910314+00:00,Audio file,A,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:47.681132+00:00,Audio file,l,,,es-BO-SofiaNeural,0,True,
2025-07-14T22:32:49.451423+00:00,Audio file,l,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:49.471294+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:52.147142+00:00,Audio file,y,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:55.074408+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:56.782355+00:00,Audio file,u,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:58.381984+00:00,Audio file,r,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:32:58.408924+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:00.824531+00:00,Audio file,b,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:03.122341+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:04.738402+00:00,Audio file,s,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:07.285240+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:07.316071+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:10.589779+00:00,Audio file,a,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:12.273487+00:00,Audio file,r,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:15.115869+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:15.142414+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:17.646837+00:00,Audio file,b,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:20.277528+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:22.053264+00:00,Audio file,l,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:24.870302+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:27.871586+00:00,Audio file,n,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:30.617976+00:00,Audio file,g,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:30.638877+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:32.992400+00:00,Audio file,t,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:35.769821+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:35.795952+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:37.363523+00:00,Audio file,u,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:38.963463+00:00,Audio file,s,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:39.369132+00:00,Audio file,.,.,Mock translation: .,es-BO-SofiaNeural,6511266232443429598,True,
2025-07-14T22:33:39.391051+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:42.954341+00:00,Audio file,H,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:45.865000+00:00,Audio file,e,,,es-BO-SofiaNeural,0,True,
2025-07-14T22:33:47.434498+00:00,Audio file,l,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:49.217986+00:00,Audio file,l,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:52.275905+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:52.741574+00:00,Audio file,",",",","Mock translation: ,",es-BO-SofiaNeural,8848552542185065846,True,
2025-07-14T22:33:52.807368+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:55.383592+00:00,Audio file,h,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:33:58.310916+00:00,Audio file,o,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:01.653649+00:00,Audio file,w,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:01.676374+00:00,Audio file, ,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:03.853018+00:00,Audio file,a,,,es-BO-SofiaNeural,0,True,
2025-07-14T22:34:05.517003+00:00,Audio file,r,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:08.078666+00:00,Audio file,e,,,es-BO-SofiaNeural,0,False,
2025-07-14T22:34:08.106449+00:00,Audio file, ,,,es-BO-SofiaNeural,0,True,
2025-07-14T22:34:10.464984+00:00,Audio file,y,,,es-BO-SofiaNeural,0,False,
